CaseMasterID,CASEChargesheetID,Fir_id,Unit_id,Dispose_Date
2656482,1082832,FIR0001,UNIT001,NULL
2657141,918956,FIR0022,UNIT001,NULL
2657378,764666,FIR0029,UNIT001,NULL
2657687,976175,FIR0041,UNIT001,NULL
2658131,859970,FIR0052,UNIT001,NULL
2658275,914907,FIR0062,UNIT001,NULL
2658294,820728,FIR0064,UNIT001,NULL
2658456,857316,FIR0068,UNIT001,12-09-2022
2658473,994422,FIR0069,UNIT001,NULL
2658728,1754394,FIR0087,UNIT001,NULL
2658741,1561205,FIR0090,UNIT001,11-04-2022
2658791,1673471,FIR0095,UNIT001,NULL
2658797,1549048,FIR0096,UNIT001,12-09-2022
2658803,1705076,FIR0097,UNIT001,NULL
2658847,1737652,FIR0099,UNIT001,NULL
2658931,1686705,FIR0103,UNIT001,12-09-2022
2659005,1731229,FIR0105,UNIT001,NULL
2659038,1521939,FIR0107,UNIT001,NULL
2659083,1529683,FIR0110,UNIT001,NULL
2659112,1679145,FIR0113,UNIT001,NULL
2659142,1729972,FIR0115,UNIT001,NULL
2659192,1674232,FIR0120,UNIT001,NULL
2465498,75801,FIR0897,UNIT001,NULL
2468076,1244282,FIR0905,UNIT001,NULL
2469319,305265,FIR0908,UNIT001,NULL
2288653,893019,FIR0923,UNIT001,NULL
2472563,1120696,FIR0935,UNIT001,NULL
2473524,1166306,FIR0939,UNIT001,NULL
2474232,917333,FIR0945,UNIT001,NULL
2292655,1123253,FIR0955,UNIT001,NULL
2476128,28057,FIR0965,UNIT001,NULL
2476502,1885000,FIR0967,UNIT001,NULL
2294153,940154,FIR0979,UNIT001,NULL
2295707,1734536,FIR0984,UNIT001,NULL
2297519,272066,FIR0993,UNIT001,NULL
2478096,1102620,FIR1003,UNIT001,NULL
2478336,1417879,FIR1005,UNIT001,NULL
2298791,1114326,FIR1014,UNIT001,NULL
2300956,1704434,FIR1027,UNIT001,NULL
2302480,469710,FIR1033,UNIT001,19-10-2020
2303851,374440,FIR1037,UNIT001,19-10-2020
2480715,88484,FIR1042,UNIT001,NULL
2481217,61428,FIR1046,UNIT001,NULL
2482212,1926784,FIR1052,UNIT001,NULL
2304933,453774,FIR1059,UNIT001,NULL
