UnitID,UnitName,Latitude,Longitude
1,Chief Office,NULL,NULL
2,Bengaluru City,NULL,NULL
3,Battalion I - Bangalore,NULL,NULL
4,Battalion III - Bangalore,NULL,NULL
5,Battalion IV - Bangalore,NULL,NULL
6,Yeshwanthapura PS,13.01826763,77.55810547
7,DCP South Division,12.91661453,77.58161163
8,DCP Central Division,12.97617626,77.59838104
9,DCP East Division,12.97495079,77.62542725
10,DCP West Division,12.97447586,77.57482147
11,Yeshwanthapura Sub-Division,13.02327633,77.54911041
12,J.C. Nagar Sub-Division,13.02472019,77.59319305
13,Malleshwaram Sub-Division,13.00273037,77.54734039
14,Jalahalli PS,13.04878902,77.54951477
15,Vidyaranyapura PS,13.08410263,77.5644455
16,Vishveshwarapuram Sub Division,NULL,NULL
17,Jayanagar Sub-Division,12.91661453,77.58161163
18,Madivala Sub-Division,12.93922043,77.61012268
19,Halasurgate Sub-Division,12.96681023,77.58716583
20,Seshadripuram Sub-Division,13.01490879,77.5725174
22,Pulakeshinagar Sub-Division,12.99127674,77.61216736
23,Banaswadi Sub Division,13.01959419,77.64019013
24,Halasur  Sub-Division,12.97495079,77.62542725
25,Airport Sub-Division,NULL,NULL
26,Byatarayanapura Sub Division,NULL,NULL
27,Vijayanagar Sub-Division,12.98530674,77.54257202
28,Chickpet Sub-Division,12.97409344,77.57537842
29,DCP North Division,13.01812935,77.55849457
30,Soladevanahalli PS,13.09033108,77.49295807
31,CAR HQ,NULL,NULL
32,Mysuru City,NULL,NULL
33,Battalion II - Belgaum,NULL,NULL
34,Battalion VI - Gulbarga,NULL,NULL
35,Battalion V - Mysore,NULL,NULL
36,Narasimharaja Sub-Division,NULL,NULL
37,Krishnaraja Sub-Division,NULL,NULL
38,Devaraja Sub-Division,NULL,NULL
39,Traffic Sub-Division,NULL,NULL
40,Mandi PS,12.31633663,76.65419769
41,Narasimharaja PS,12.33483696,76.66400147
42,Metagalli PS,12.34725094,76.63039398
43,Jayalakshmipuram PS,12.32368279,76.61271668
44,V.V. Puram PS,NULL,NULL
45,Vijayanagar PS,12.33688927,76.60163879
46,Krishnaraja PS,12.29795837,76.65049744
47,Vidyaranyarpuram PS,12.26362133,76.64472199
48,Ashokpuram PS,12.28930569,76.63129425
49,Laxmipuram PS,12.29773617,76.64283752
50,Saraswathipuram PS,12.30174828,76.6239624
51,Kuvempunagar PS,12.28633976,76.61924744
52,Devaraja PS,12.3124342,76.64925385
53,Lashkar PS,12.3143158,76.65682221
54,Nazarbad PS,12.30845738,76.66732025
55,Udayagiri PS,12.32682896,76.68090057
56,Mysuru City Women PS,12.3143158,76.65682221
57,Narasimharaja Traffic PS,12.31985569,76.65791321
58,Krishnaraja Traffic PS,12.29223633,76.64763641
59,Deveraja Traffic PS,12.30813694,76.64723969
62,Hubballi Dharwad City,NULL,NULL
63,Battalion VII - Mangalore,NULL,NULL
64,Battalion VIII - Shimoga,NULL,NULL
65,Battalion X - Haveri,NULL,NULL
66,Hubli North Sub-Division,NULL,NULL
67,Hubli South Sub-Division,NULL,NULL
68,Dharwad Sub-Division,NULL,NULL
69,Traffic Sub-Division,NULL,NULL
